sample_id,timestamp,species,behavior,latitude,longitude,temperature,weather,vegetation_type,time_of_day
S0000,2025-05-28 16:21:00,Leopard,Grazing,24.49111,78.4894,19.0,Rainy,Grassland,Evening
S0001,2025-05-21 07:09:00,Peacock,Hunting,24.60644,78.3134,30.5,Windy,Grassland,Morning
S0002,2025-05-26 14:55:00,Deer,Resting,24.41096,78.36023,27.4,Windy,Desert,Night
S0003,2025-05-04 13:01:00,Fox,Running,24.37788,78.68094,32.3,Rainy,Savanna,Night
S0004,2025-05-26 10:27:00,Wolf,Running,24.45122,78.56483,32.6,Rainy,Grassland,Afternoon
S0005,2025-05-30 05:10:00,Tiger,Resting,24.49469,78.36676,29.8,Windy,Grassland,Morning
S0006,2025-05-09 09:08:00,Tiger,Socializing,24.38303,78.38407,23.7,Windy,Grassland,Evening
S0007,2025-05-30 15:59:00,Deer,Hunting,24.62687,78.48979,30.9,Cloudy,Wetland,Morning
S0008,2025-05-05 18:50:00,Wolf,Resting,24.58129,78.64464,24.4,Sunny,Forest,Morning
S0009,2025-05-13 18:27:00,Monkey,Resting,24.64621,78.58716,23.4,Rainy,Forest,Morning
S0010,2025-05-08 00:46:00,Tiger,Resting,24.30046,78.51473,30.5,Rainy,Wetland,Evening
S0011,2025-05-26 15:05:00,Wolf,Playing,24.60083,78.45629,21.9,Cloudy,Savanna,Evening
S0012,2025-05-15 21:41:00,Tiger,Grazing,24.36735,78.32164,34.9,Sunny,Savanna,Night
S0013,2025-05-06 04:38:00,Leopard,Running,24.48125,78.69011,31.2,Rainy,Grassland,Evening
S0014,2025-05-28 16:51:00,Monkey,Hunting,24.31099,78.69535,29.8,Windy,Grassland,Evening
S0015,2025-05-25 17:32:00,Peacock,Hunting,24.49682,78.59182,24.9,Cloudy,Savanna,Evening
S0016,2025-05-10 06:46:00,Peacock,Playing,24.37037,78.56061,31.9,Foggy,Wetland,Afternoon
S0017,2025-05-17 22:19:00,Deer,Running,24.33201,78.40545,27.8,Cloudy,Savanna,Morning
