species,total_distance_km,average_speed_kmh,observations
Peacock,2682.9020328605625,0.4554918776924661,124
Tiger,2367.9844829431267,0.43338616490866744,105
Leopard,2232.5830349078155,0.37553036185355676,113
Deer,2133.8520170521824,0.3799982289096391,98
Fox,2130.7762102035317,0.3964686812869179,102
Rabbit,1943.1835300710104,0.336695189209325,100
Monkey,1922.7736510178506,0.33957808419455027,95
Boar,1889.0711397975742,0.3459272515136185,94
Wolf,1517.3971888864992,0.2517413538908714,85
Elephant,1472.9125461957424,0.26058493417976325,84
