feature,importance
latitude,0.2395697161528496
longitude,0.21478048200380753
temperature,0.14130984934958657
day,0.11614288497712023
hour,0.09570058091134995
day_of_week,0.04846350577755983
vegetation_type_Savanna,0.02200729523540069
weather_Foggy,0.019281003368505613
weather_Windy,0.016107532851470718
vegetation_type_Grassland,0.014316430697817456
vegetation_type_Forest,0.014066968558718479
weather_Rainy,0.013535831472299156
vegetation_type_Desert,0.012093668809141585
weather_Sunny,0.011774298334514833
weather_Cloudy,0.011183155245461707
vegetation_type_Wetland,0.009666796254395892
month,0.0
