sample_id,timestamp,species,behavior,latitude,longitude,temperature,weather,vegetation_type,time_of_day,animal_id,previous_latitude,previous_longitude,previous_timestamp,distance_km,time_diff_hours,speed_kmh,speed_risk,distance_risk,anomaly_risk,weather_risk,habitat_risk,behavior_risk,risk_score,risk_level,conservation_priority,risk_reason
S0736,2025-05-02 02:57:00,Boar,Alert,24.3327,78.57422,27.9,Rainy,Desert,Evening,BOA_001,,,,0.0,,0.0,0,0,0,5,1,4,10,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0912,2025-05-04 02:01:00,Boar,Alert,24.40228,78.51401,27.6,Rainy,Wetland,Night,BOA_001,24.3327,78.57422,2025-05-02 02:57:00,9.851581705866748,47.06666666666667,0.20931122604532748,0,0,0,5,5,4,14,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0519,2025-05-08 15:00:00,Boar,Socializing,24.67836,78.62398,24.9,Rainy,Grassland,Evening,BOA_001,24.40228,78.51401,2025-05-04 02:01:00,32.651836979126564,108.98333333333333,0.29960394842446764,0,0,0,5,1,1,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0522,2025-05-12 23:11:00,Boar,Grazing,24.67307,78.36231,22.0,Cloudy,Desert,Morning,BOA_001,24.67836,78.62398,2025-05-08 15:00:00,26.445985458496356,104.18333333333334,0.2538408458662264,0,0,0,2,1,1,4,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0050,2025-05-14 20:26:00,Boar,Playing,24.64367,78.59284,19.7,Foggy,Grassland,Morning,BOA_001,24.67307,78.36231,2025-05-12 23:11:00,23.524517890146182,45.25,0.5198788484010206,0,0,0,8,1,2,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0722,2025-05-15 23:39:00,Boar,Running,24.33623,78.47004,27.2,Sunny,Desert,Night,BOA_001,24.64367,78.59284,2025-05-14 20:26:00,36.37414530492802,27.216666666666665,1.3364658409648997,20,0,0,0,1,5,26,Moderate,Monitor,"High movement speed, Habitat factor, Active/risk behavior"
S0880,2025-05-20 05:09:00,Boar,Playing,24.41186,78.67454,32.6,Rainy,Grassland,Afternoon,BOA_001,24.33623,78.47004,2025-05-15 23:39:00,22.354753429815094,101.5,0.22024387615581373,0,0,0,5,1,2,8,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0063,2025-05-22 19:23:00,Boar,Alert,24.30478,78.53225,22.6,Windy,Grassland,Evening,BOA_001,24.41186,78.67454,2025-05-20 05:09:00,18.695459826166616,62.233333333333334,0.30040910272362,0,0,0,5,1,4,10,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0692,2025-05-24 20:57:00,Boar,Alert,24.3967,78.33872,31.6,Sunny,Savanna,Morning,BOA_001,24.30478,78.53225,2025-05-22 19:23:00,22.109523140374172,49.56666666666667,0.44605628393491936,0,0,0,0,2,4,6,Low,Normal,"Habitat factor, Active/risk behavior"
S0536,2025-05-29 10:51:00,Boar,Playing,24.51818,78.30722,23.5,Cloudy,Forest,Evening,BOA_001,24.3967,78.33872,2025-05-24 20:57:00,13.879139472873693,109.9,0.1262888032108616,0,0,0,2,3,2,7,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0698,2025-05-02 03:03:00,Boar,Alert,24.38399,78.69755,32.8,Windy,Savanna,Evening,BOA_002,,,,0.0,,0.0,0,0,0,5,2,4,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0657,2025-05-04 04:55:00,Boar,Hunting,24.49377,78.58881,25.8,Rainy,Savanna,Afternoon,BOA_002,24.38399,78.69755,2025-05-02 03:03:00,16.437339300916477,49.86666666666667,0.32962578811998283,0,0,0,5,2,5,12,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0693,2025-05-09 20:42:00,Boar,Hunting,24.6589,78.45624,31.3,Sunny,Wetland,Afternoon,BOA_002,24.49377,78.58881,2025-05-04 04:55:00,22.734581078620725,135.78333333333333,0.16743278074349374,0,0,0,0,5,5,10,Low,Normal,"Habitat factor, Active/risk behavior"
S0685,2025-05-12 23:11:00,Boar,Hunting,24.3154,78.4891,18.8,Sunny,Desert,Evening,BOA_002,24.6589,78.45624,2025-05-09 20:42:00,38.339926497868085,74.48333333333333,0.5147450413676627,0,0,0,0,1,5,6,Low,Normal,"Habitat factor, Active/risk behavior"
S0217,2025-05-14 23:51:00,Boar,Playing,24.3271,78.31644,19.5,Sunny,Forest,Afternoon,BOA_002,24.3154,78.4891,2025-05-12 23:11:00,17.543328060973124,48.666666666666664,0.36047934371862583,0,0,0,0,3,2,5,Low,Normal,"Habitat factor, Active/risk behavior"
S0829,2025-05-16 00:20:00,Boar,Playing,24.33651,78.5051,25.8,Foggy,Savanna,Afternoon,BOA_002,24.3271,78.31644,2025-05-14 23:51:00,19.143270443260874,24.483333333333334,0.7818898751502059,20,0,0,8,2,2,32,Moderate,Monitor,"High movement speed, Environmental condition, Habitat factor, Active/risk behavior"
S0355,2025-05-20 11:50:00,Boar,Grazing,24.64132,78.55555,29.7,Sunny,Wetland,Evening,BOA_002,24.33651,78.5051,2025-05-16 00:20:00,34.27564492794473,107.5,0.318843208632044,0,0,0,0,5,1,6,Low,Normal,"Habitat factor, Active/risk behavior"
S0675,2025-05-22 20:57:00,Boar,Resting,24.62714,78.3886,28.9,Windy,Savanna,Morning,BOA_002,24.64132,78.55555,2025-05-20 11:50:00,16.947937091334804,57.11666666666667,0.29672489800994695,0,0,0,5,2,0,7,Low,Normal,"Environmental condition, Habitat factor"
S0899,2025-05-26 03:20:00,Boar,Grazing,24.64691,78.50751,19.7,Sunny,Desert,Night,BOA_002,24.62714,78.3886,2025-05-22 20:57:00,12.21792656575235,78.38333333333334,0.1558740365607359,0,0,0,0,1,1,2,Low,Normal,"Habitat factor, Active/risk behavior"
S0023,2025-05-30 06:02:00,Boar,Hunting,24.55405,78.3993,27.3,Sunny,Grassland,Afternoon,BOA_002,24.64691,78.50751,2025-05-26 03:20:00,15.043480376758648,98.7,0.1524162145568252,0,0,0,0,1,5,6,Low,Normal,"Habitat factor, Active/risk behavior"
S0866,2025-05-02 03:32:00,Boar,Resting,24.37748,78.48982,28.9,Windy,Forest,Morning,BOA_003,,,,0.0,,0.0,0,0,0,5,3,0,8,Low,Normal,"Environmental condition, Habitat factor"
S0255,2025-05-04 16:13:00,Boar,Playing,24.66725,78.64867,18.8,Sunny,Grassland,Night,BOA_003,24.37748,78.48982,2025-05-02 03:32:00,36.00605697990675,60.68333333333333,0.5933434272986556,0,0,0,0,1,2,3,Low,Normal,"Habitat factor, Active/risk behavior"
S0158,2025-05-09 22:43:00,Boar,Grazing,24.47337,78.68553,26.1,Foggy,Wetland,Evening,BOA_003,24.66725,78.64867,2025-05-04 16:13:00,21.87834802687786,126.5,0.172951367801406,0,0,0,8,5,1,14,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0925,2025-05-13 00:09:00,Boar,Running,24.5889,78.39461,31.4,Rainy,Grassland,Morning,BOA_003,24.47337,78.68553,2025-05-09 22:43:00,32.11054771836676,73.43333333333334,0.43727482140308793,0,0,0,5,1,5,11,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0814,2025-05-15 06:46:00,Boar,Playing,24.44671,78.34514,29.5,Cloudy,Savanna,Evening,BOA_003,24.5889,78.39461,2025-05-13 00:09:00,16.584021975287843,54.61666666666667,0.3036439787968479,0,0,0,2,2,2,6,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
S0243,2025-05-16 13:13:00,Boar,Resting,24.55783,78.33394,23.0,Cloudy,Wetland,Afternoon,BOA_003,24.44671,78.34514,2025-05-15 06:46:00,12.407838549911215,30.45,0.4074823825915013,0,0,0,2,5,0,7,Low,Normal,"Environmental condition, Habitat factor"
S0123,2025-05-20 14:52:00,Boar,Playing,24.62879,78.45818,31.7,Rainy,Forest,Night,BOA_003,24.55783,78.33394,2025-05-16 13:13:00,14.834183929370234,97.65,0.15191176578976173,0,0,0,5,3,2,10,Low,Normal,"Environmental condition, Habitat factor, Active/risk behavior"
